transaction_id,user_id,transaction_amount,transaction_time,transaction_type
95513,167,18.62,2024-07-22 07:00:31.010494,transport
78999,529,48.41,2024-07-10 10:27:02.588953,transport
9256,20,64.37,2024-07-21 23:54:11.617953,travel
76002,845,1.43,2024-07-17 04:38:53.022358,entertainment
14931,842,52.28,2024-07-22 22:17:27.119011,health
17516,695,31.02,2024-07-15 17:16:40.096310,transport
38889,912,68.2,2024-07-21 12:51:30.016975,travel
98295,564,53.0,2024-07-13 03:29:33.686285,entertainment
7803,28,82.01,2024-07-25 05:57:38.508225,transport
65678,251,59.81,2024-07-06 03:58:54.158180,entertainment
3580,433,2.54,2024-07-27 10:43:44.800746,transport
17677,975,-45.67,2024-07-05 03:27:47.682642,travel
1831,381,98.24,2024-07-10 01:50:40.712772,transport
22390,121,20.24,2024-07-02 00:56:54.940780,services
96514,960,85.98,2024-07-24 00:10:38.047724,entertainment
33351,356,54.94,2024-07-01 15:47:51.260336,services
18219,151,84.48,2024-07-25 03:41:05.162410,entertainment
13310,268,70.75,2024-07-12 14:35:19.147308,entertainment
65841,994,80.61,2024-07-03 19:18:07.886000,services
86630,803,24.95,2024-07-03 08:16:47.022688,health
49177,753,73.53,2024-07-18 17:17:39.689040,travel
38534,258,29.58,2024-07-02 01:25:55.007124,travel
70357,122,96.54,2024-07-23 19:28:35.166627,transport
5111,998,15.43,2024-07-27 10:09:47.084807,entertainment
80236,0,94.81,2024-07-03 01:34:49.144451,transport
87377,580,39.38,2024-07-08 18:55:04.893086,health
80526,655,30.01,2024-07-11 10:50:13.487705,entertainment
54225,214,29.11,2024-07-11 20:13:08.105855,travel
8773,13,10.1,2024-07-11 08:50:38.693625,travel
35321,552,27.82,2024-07-15 10:51:56.022179,entertainment
68128,966,28.54,2024-07-19 09:18:40.357464,travel
41155,624,24.14,2024-07-06 19:55:15.702078,transport
47926,160,71.06,2024-07-16 14:08:38.682470,travel
46113,676,3.9,2024-07-02 18:58:30.192710,services
39767,459,7.1,2024-07-13 12:15:37.126734,entertainment
24318,889,3536.49,2024-07-03 06:25:50.948038,
86987,850,54.02,2024-07-03 03:33:43.993862,services
57166,168,17.81,2024-07-03 03:27:03.523161,health
5799,162,31.84,2024-07-07 19:10:37.407043,services
32416,240,75.61,2024-07-05 00:45:03.422096,transport
5302,209,47.9,2024-07-09 15:37:46.389705,services
18066,468,7.37,2024-07-12 17:30:37.815635,
5890,200,78.13,2024-07-06 09:11:06.265286,transport
99687,517,-25.42,2024-07-22 07:17:20.424232,entertainment
72379,507,36.84,2024-07-07 10:22:04.164424,health
66811,937,63.13,2024-07-21 01:33:32.373583,services
44620,180,54.37,2024-07-05 22:40:21.154172,health
53564,595,59.23,2024-07-13 21:50:34.400429,health
40941,388,6.18,2024-07-01 23:47:32.814048,transport
59487,693,51.58,2024-07-19 14:21:43.586456,entertainment
52919,224,94.61,2024-07-16 16:08:46.532259,health
92539,284,53.96,2024-07-06 18:29:19.324094,travel
76270,155,18.12,2024-07-16 18:36:53.536960,travel
98545,873,96.43,2024-07-06 23:38:48.939238,entertainment
16179,473,78.74,2024-07-26 22:38:24.888159,health
15818,910,77.55,2024-07-27 17:56:00.572850,entertainment
21911,726,18.22,2024-07-31 06:15:58.229629,health
69731,818,35.41,2024-07-22 18:42:22.998007,services
26549,61,1.09,2024-07-31 02:22:18.187305,entertainment
38923,357,86.97,2024-07-14 02:29:57.896476,entertainment
96953,874,4.05,2024-07-28 00:15:57.214388,transport
97523,257,82.83,2024-07-30 16:45:16.932932,travel
71109,337,52.59,2024-07-09 12:16:27.841012,entertainment
28428,777,28.29,2024-07-29 00:45:00.292008,health
81191,734,32.01,2024-07-31 02:22:59.151000,health
48869,297,-27.82,2024-07-23 06:16:57.222911,
34738,957,60.66,2024-07-03 02:17:26.711599,health
87714,534,98.33,2024-07-16 17:41:23.189098,
76218,750,24.52,2024-07-24 13:46:57.538773,travel
68164,230,6.15,2024-07-10 09:57:00.026697,health
22321,599,64.88,2024-07-29 12:23:29.776298,travel
80846,472,37.42,2024-07-24 15:59:34.530246,travel
54792,570,93.4,2024-07-11 06:58:51.585621,transport
8682,168,61.55,2024-07-05 00:48:23.841840,travel
44495,780,1.28,2024-07-10 21:08:04.154207,travel
78669,944,61.5,2024-07-11 23:17:17.625897,
19908,918,59.62,2024-07-17 14:56:04.506578,transport
47489,710,4.14,2024-07-29 05:43:09.400274,transport
97617,548,78.72,2024-07-30 11:01:48.340895,travel
19985,640,48.3,2024-07-17 17:46:39.868795,
86222,746,69.2,2024-07-11 01:57:03.067001,entertainment
67076,138,92.15,2024-07-09 04:28:33.170753,transport
27055,262,53.45,2024-07-07 12:19:57.298227,entertainment
16051,323,-34.61,2024-07-26 04:49:10.271209,travel
